Id,Subsistema,Sector,Manzana,Lote,Nivel1,Nivel2,Fraccion,Toma,Original,Correcta
105,1,20,3,23,0,0,0,1,"1-20-0003-0023-00-00-00-01","1-20-0003-0023-00-00-00-01"
106,1,20,3,22,0,0,0,1,"1-20-0003-0022-00-00-00-01","1-20-0003-0022-00-00-00-01"
107,1,20,3,21,0,0,0,1,"1-20-0003-0021-00-00-00-01","1-20-0003-0021-00-00-00-01"
108,1,20,3,20,0,0,0,1,"1-20-0003-0020-00-00-00-01","1-20-0003-0020-00-00-00-01"
109,1,20,3,19,0,0,0,1,"1-20-0003-0019-00-00-00-01","1-20-0003-0019-00-00-00-01"
110,1,20,2,2,0,0,0,1,"1-20-0002-0002-00-00-00-01","1-20-0002-0002-00-00-00-01"
111,1,20,2,1,0,0,0,1,"1-20-0002-0001-00-00-00-01","1-20-0002-0001-00-00-00-01"
112,1,20,1,72,0,0,0,1,"1-20-0001-0072-00-00-00-01","1-20-0001-0072-00-00-00-01"
113,1,20,1,70,0,0,0,1,"1-20-0001-0070-00-00-00-01","1-20-0001-0070-00-00-00-01"
114,1,20,1,44,0,0,0,1,"1-20-0001-0044-00-00-00-01","1-20-0001-0044-00-00-00-01"
115,1,20,1,43,0,0,0,1,"1-20-0001-0043-00-00-00-01","1-20-0001-0043-00-00-00-01"
116,1,20,1,42,0,0,0,1,"1-20-0001-0042-00-00-00-01","1-20-0001-0042-00-00-00-01"
117,1,20,1,41,0,0,0,1,"1-20-0001-0041-00-00-00-01","1-20-0001-0041-00-00-00-01"
118,1,20,1,39,0,0,0,1,"1-20-0001-0039-00-00-00-01","1-20-0001-0039-00-00-00-01"
119,1,20,1,38,0,0,0,1,"1-20-0001-0038-00-00-00-01","1-20-0001-0038-00-00-00-01"
120,1,20,1,37,0,0,0,1,"1-20-0001-0037-00-00-00-01","1-20-0001-0037-00-00-00-01"
121,1,20,1,36,0,0,0,1,"1-20-0001-0036-00-00-00-01","1-20-0001-0036-00-00-00-01"
122,1,20,1,34,0,0,0,2,"1-20-0001-0034-00-00-00-02","1-20-0001-0034-00-00-00-02"
123,1,20,1,34,0,0,0,1,"1-20-0001-0034-00-00-00-01","1-20-0001-0034-00-00-00-01"
124,1,20,1,33,0,0,0,1,"1-20-0001-0033-00-00-00-01","1-20-0001-0033-00-00-00-01"
125,1,20,1,32,0,0,0,1,"1-20-0001-0032-00-00-00-01","1-20-0001-0032-00-00-00-01"
126,1,20,1,31,0,0,0,1,"1-20-0001-0031-00-00-00-01","1-20-0001-0031-00-00-00-01"
127,1,20,1,30,0,0,0,1,"1-20-0001-0030-00-00-00-01","1-20-0001-0030-00-00-00-01"
128,1,20,1,29,0,0,0,1,"1-20-0001-0029-00-00-00-01","1-20-0001-0029-00-00-00-01"
129,1,20,1,46,0,0,0,1,"1-20-0001-0046-00-00-00-01","1-20-0001-0046-00-00-00-01"
130,1,20,1,27,0,0,0,1,"1-20-0001-0027-00-00-00-01","1-20-0001-0027-00-00-00-01"
131,1,20,1,47,0,0,0,1,"1-20-0001-0047-00-00-00-01","1-20-0001-0047-00-00-00-01"
132,1,20,1,49,0,0,0,1,"1-20-0001-0049-00-00-00-01","1-20-0001-0049-00-00-00-01"
133,1,20,1,64,0,0,0,2,"1-20-0001-0064-00-00-00-02","1-20-0001-0064-00-00-00-02"
134,1,20,1,64,0,0,0,1,"1-20-0001-0064-00-00-00-01","1-20-0001-0064-00-00-00-01"
135,1,20,1,63,0,0,0,1,"1-20-0001-0063-00-00-00-01","1-20-0001-0063-00-00-00-01"
136,1,20,1,62,0,0,0,1,"1-20-0001-0062-00-00-00-01","1-20-0001-0062-00-00-00-01"
137,1,20,1,61,0,0,0,1,"1-20-0001-0061-00-00-00-01","1-20-0001-0061-00-00-00-01"
138,1,20,1,60,0,0,0,1,"1-20-0001-0060-00-00-00-01","1-20-0001-0060-00-00-00-01"
139,1,20,1,59,0,0,0,1,"1-20-0001-0059-00-00-00-01","1-20-0001-0059-00-00-00-01"
140,1,20,1,58,0,0,0,1,"1-20-0001-0058-00-00-00-01","1-20-0001-0058-00-00-00-01"
141,1,20,1,57,0,0,0,1,"1-20-0001-0057-00-00-00-01","1-20-0001-0057-00-00-00-01"
142,1,20,1,56,0,0,0,1,"1-20-0001-0056-00-00-00-01","1-20-0001-0056-00-00-00-01"
143,1,20,1,55,0,0,0,1,"1-20-0001-0055-00-00-00-01","1-20-0001-0055-00-00-00-01"
144,1,20,1,54,0,0,0,1,"1-20-0001-0054-00-00-00-01","1-20-0001-0054-00-00-00-01"
